Country,Parameter link,Dystopia (2.43) + residual,Explained by: Freedom to make life choices,Explained by: Economy,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Perceptions of corruption,Explained by: Social support,Happiness score,Interval,Range,Range,Rank,Whisker-high,Whisker-low
113.        Burkina (Faso (4.834)*,TRUE,3.133368015,0.380639672,0.364313334,0.182351872,0.178664997,0.122073241,0.472349763,4.833799839,4.99307251,0.318545341,0.318545341,113,4.99307251,4.674527168
114.        Cambodia (4.830),TRUE,2.148313522,0.7019068,0.602682948,0.210121989,0.425885051,0.061149549,0.680344403,4.83039999,4.962635517,0.264471054,0.264471054,114,4.962635517,4.698164463
115.        Mozambique (4.794)*,TRUE,2.783364296,0.608491838,0.182770729,0.227632791,0.196145415,0.162577569,0.633566916,4.794499874,4.996980667,0.404961586,0.404961586,115,4.996980667,4.592019081
116.        Nigeria (4.759),TRUE,2.736101627,0.432787716,0.662914753,0.212368652,0.05114226,0.038851786,0.625144839,4.759300232,4.860627174,0.202653885,0.202653885,116,4.860627174,4.657973289
117.        Mali (4.723)*,TRUE,3.016300201,0.383927137,0.38720727,0.164472535,0.109945722,0.071694434,0.589945793,4.723499775,4.884151459,0.321303368,0.321303368,117,4.884151459,4.562848091
118.        Iran (4.721),TRUE,1.823317289,0.274703562,1.030315042,0.330494404,0.561313808,0.143581659,0.557493687,4.721199989,4.828466892,0.214533806,0.214533806,118,4.828466892,4.613933086
119.        Uganda (4.636),TRUE,2.595520258,0.39800027,0.364084095,0.267345399,0.240098163,0.053849924,0.717576444,4.636499882,4.780294418,0.287589073,0.287589073,119,4.780294418,4.492705345
120.        Liberia (4.625)*,TRUE,2.856561661,0.430175006,0.227924362,0.220741525,0.252576053,0.057040524,0.5801512,4.625199795,4.832998753,0.415597916,0.415597916,120,4.832998753,4.417400837
121.        Kenya (4.607),TRUE,2.180192232,0.482834697,0.602825522,0.375107586,0.385058671,0.072633386,0.507962525,4.606599808,4.746918201,0.280636787,0.280636787,121,4.746918201,4.466281414
122.        Tunisia (4.596),TRUE,2.138342857,0.33359924,0.919014692,0.057132803,0.589672267,0.044246241,0.514530003,4.59649992,4.709261417,0.225522995,0.225522995,122,4.709261417,4.483738422
123.        Lebanon (4.584)*,TRUE,1.73572135,0.174581841,1.044743657,0.140048668,0.594536662,0.026287246,0.867847621,4.583799839,4.69107008,0.214540482,0.214540482,123,4.69107008,4.476529598
124.        Namibia (4.574),TRUE,2.068314075,0.410743982,0.882247567,0.090792418,0.262063652,0.059079643,0.800906479,4.574100018,4.700086594,0.251973152,0.251973152,124,4.700086594,4.448113441
125.        Palestinian Territories (4.517)*,TRUE,2.131008625,0.330091715,0.646061838,0.08195398,0.433748186,0.075267844,0.818574667,4.516699791,4.648957253,0.264514923,0.264514923,125,4.648957253,4.384442329
126.        Myanmar (4.426),TRUE,1.407030821,0.600967884,0.665774167,0.519929767,0.34089759,0.178439781,0.712712705,4.425799847,4.527252674,0.202905655,0.202905655,126,4.527252674,4.324347019
127.        Jordan (4.395),TRUE,1.552751064,0.45452261,0.889773548,0.079170235,0.583358765,0.149664953,0.685395479,4.394599915,4.516111851,0.243023872,0.243023872,127,4.516111851,4.273087978
128.        Chad (4.355)*,TRUE,3.208782196,0.23956871,0.254583955,0.214942247,0,0.084456936,0.353039443,4.355400085,4.540045261,0.369290352,0.369290352,128,4.540045261,4.17075491
129.        Sri Lanka (4.325)*,TRUE,1.074510813,0.559372246,0.990495563,0.239397511,0.592772722,0.048634466,0.819854677,4.324999809,4.454102516,0.258205414,0.258205414,129,4.454102516,4.195897102
130.        Swaziland (4.308)*,TRUE,2.154532909,0.322550684,0.848925889,0.067379564,0.074175,0.147365347,0.693205237,4.308100224,4.448145866,0.280091286,0.280091286,130,4.448145866,4.168054581
131.        Comoros (4.289)*,TRUE,2.610100269,0.201829001,0.487523943,0.241182312,0.279391855,0.101220056,0.367373377,4.288599968,4.453906536,0.330613136,0.330613136,131,4.453906536,4.1232934
132.        Egypt (4.283),TRUE,1.647938967,0.44635278,0.954242527,0.069173284,0.425802499,0.092193119,0.646990299,4.282700062,4.370596409,0.175792694,0.175792694,132,4.370596409,4.194803715
133.        Ethiopia (4.275),TRUE,2.088596821,0.450674146,0.369729608,0.241466194,0.331374764,0.114031442,0.67880857,4.274700165,4.374234676,0.199069023,0.199069023,133,4.374234676,4.175165653
134.        Mauritania (4.227)*,TRUE,2.069267035,0.218392879,0.666071713,0.118562855,0.273457259,0.13292107,0.748766959,4.227399826,4.364619255,0.274438858,0.274438858,134,4.364619255,4.090180397
